gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1038.0254289287,1038.1377692435012,1037.5309488353826,1037.2857724009975,1036.8461117395054,1034.7462308140198,LS,1000.0,2007-11-01,478.4436
1046.0090393537523,1045.803966143942,1045.2453570664109,1044.425719517018,1042.8139595804566,1039.6051388823898,LS,1000.0,2007-11-02,478.7202
1043.9439591572996,1043.1782298043213,1042.429597501577,1041.753322401467,1040.5961935055702,1037.8583814285205,LS,1000.0,2007-11-05,478.8157
1054.355323594066,1052.8105068135271,1051.5875496719293,1049.8285518447556,1047.451678024053,1043.4983494713185,LS,1000.0,2007-11-06,478.7951
1065.0794453275169,1062.4146431690688,1059.9402707924066,1056.2514979536377,1052.6873040035655,1047.4759532209841,LS,1000.0,2007-11-07,479.1479
1067.6391890250186,1064.5432392641399,1062.030444770369,1058.443359377693,1055.1268863585367,1050.228491422196,LS,1000.0,2007-11-08,479.2596
1072.1423869206947,1069.3305353138705,1066.8864150656934,1063.1460456604686,1059.1511483290185,1053.596781194678,LS,1000.0,2007-11-09,479.4027
1055.714386503823,1054.2632942162945,1052.9468335067163,1051.0280336861745,1048.1279065118904,1043.7347426422991,LS,1000.0,2007-11-12,479.42055
1049.57047339264,1048.7508554834621,1048.3920036996176,1048.4419773786815,1048.2436394683791,1046.5471662173961,LS,1000.0,2007-11-13,479.4384
1063.5732991134257,1061.8933536072836,1060.60672230416,1058.6835472723328,1056.5066646081114,1052.718201208898,LS,1000.0,2007-11-14,479.5554
1067.8054997486918,1066.095199298281,1064.79110358986,1063.1219613196497,1060.780864317121,1056.8411354915745,LS,1000.0,2007-11-15,479.7113
1071.9562822157245,1070.1750506956046,1069.0958168708805,1067.650981842914,1064.4665053364165,1059.7569585868368,LS,1000.0,2007-11-16,479.673
1084.9421412051145,1081.926198686375,1080.0101130171145,1077.4237481982525,1072.5141539086992,1066.0890438923875,LS,1000.0,2007-11-19,479.8272
1097.1101723744555,1094.661901671403,1092.9063693293192,1089.7901936252056,1083.5204225097918,1075.6807926808797,LS,1000.0,2007-11-20,480.1797
1103.0901508637671,1099.6972496732328,1097.223547370803,1093.2742422797546,1086.4921916666576,1078.185673412468,LS,1000.0,2007-11-21,480.3404
1100.2345074636464,1098.3845009717456,1096.9122523472354,1094.244123899,1088.244841770153,1080.7081979893358,LS,1000.0,2007-11-22,480.3089
1100.334656009443,1098.9827488448254,1097.8697339068565,1095.6453577210987,1090.0059661340915,1082.8493759757434,LS,1000.0,2007-11-23,480.2774
1116.7121996325627,1113.216318807691,1109.9172577276875,1104.5249650126443,1097.3198369450606,1088.496773528852,LS,1000.0,2007-11-26,480.4377
1099.0492039440962,1096.4692968048623,1094.5491933102708,1091.660016422681,1087.0229658242201,1080.7800451499206,LS,1000.0,2007-11-27,480.4459
1077.7047395245143,1076.9618878534582,1076.9302731217026,1077.3324312457084,1076.4341628495058,1073.9162198150032,LS,1000.0,2007-11-28,480.586
1079.8562111778315,1079.2899007934018,1079.4609446153622,1080.0298746728174,1079.1053280263102,1076.5024904316638,LS,1000.0,2007-11-29,480.6231
1068.7190573924026,1068.6311133935494,1069.4426563617847,1071.2233782928802,1072.0015235025637,1071.0489405852616,LS,1000.0,2007-11-30,480.4842
1074.4064091876244,1074.0169505923104,1074.4907241165306,1075.6368459614714,1075.7801484846382,1074.1556071271546,LS,1000.0,2007-12-03,480.7299
1081.4478926109882,1079.399601573348,1078.4724840052356,1077.7262660643128,1077.2915682288442,1075.0283447335564,LS,1000.0,2007-12-04,480.7414
1076.1012590066277,1074.5527086638133,1074.3127387973989,1074.5559923494557,1075.1819578527115,1073.912030131726,LS,1000.0,2007-12-05,480.7817
1082.771429591912,1081.1858053369078,1081.0273063914608,1081.1245289710507,1080.5383460051496,1078.1027292706458,LS,1000.0,2007-12-06,480.85
1068.3180807081155,1067.5795729714073,1068.086723439732,1069.2996360731747,1070.1803282958936,1069.190679782635,LS,1000.0,2007-12-07,480.9231
1063.2186996332634,1063.3649668909864,1064.1068038449366,1065.7878633049754,1067.410119106452,1067.214787025342,LS,1000.0,2007-12-10,481.0578
1078.413018804089,1077.4290793208706,1076.9547555495749,1076.4857410913457,1075.7885519529239,1073.2062426833352,LS,1000.0,2007-12-11,481.2389
1085.8832477911444,1084.6980646207694,1084.1384616616444,1083.111222919338,1080.0909437389043,1075.2958581412174,LS,1000.0,2007-12-12,481.323
1077.6188909323478,1075.2645307350554,1074.48573299286,1073.5224465644844,1070.8801311349218,1066.5006997798891,LS,1000.0,2007-12-13,481.3856
1072.292323782807,1069.4825905953678,1068.4791621895383,1067.3304341573914,1064.667853877455,1060.2962602565985,LS,1000.0,2007-12-14,481.4222
1077.255128725817,1073.0391955882499,1070.9587613849922,1068.5106671895055,1064.9753100825587,1059.798914751698,LS,1000.0,2007-12-17,481.4257
1080.7168488914115,1076.3091190502714,1073.8687228273272,1071.0693796867365,1067.9733269691903,1063.183353166263,LS,1000.0,2007-12-18,481.4781
1088.6216934045751,1083.7033658780526,1081.0499529351314,1077.815883239737,1073.932450457133,1068.3951117083443,LS,1000.0,2007-12-19,481.6196
1087.8709292778103,1083.0684467748054,1080.7056986095681,1077.878197534379,1074.2563529125441,1068.9376603090336,LS,1000.0,2007-12-20,481.6839
1092.1708220300352,1088.055671481171,1085.984134957455,1083.3744610732813,1079.1837067079239,1073.295237640543,LS,1000.0,2007-12-21,481.5919
1095.8332746747394,1091.7037468182382,1089.6359345606716,1086.968303828793,1082.5382135435893,1076.374063762133,LS,1000.0,2007-12-24,481.5046
1098.5595632728252,1094.4353783758356,1092.2611052861475,1089.3556096179404,1084.436471060592,1077.8087245422748,LS,1000.0,2007-12-25,481.53925
1100.184949988537,1096.176438197937,1093.9013128766521,1090.741769140267,1085.3423073467413,1078.2222457695902,LS,1000.0,2007-12-26,481.5739
1108.8252919935562,1104.3593854580888,1101.3271669040184,1096.8384809704335,1090.4783026643145,1082.3486210623719,LS,1000.0,2007-12-27,481.7069
1115.0952578316692,1110.6241914695454,1107.418865749476,1102.7726452188056,1096.627061056252,1088.6488182953592,LS,1000.0,2007-12-28,481.8164
